transaction,affiliate,amount,timestamp
tx201,aff_01,$142.75,05/01/2025 08:15 AM 
tx202,aff_03,$198.30,05/01/2025 08:32 AM 
tx203,aff_05,$89.45,05/01/2025 08:47 AM 
tx204,aff_02,$267.80,05/01/2025 09:03 AM 
tx205,aff_04,$134.20,05/01/2025 09:19 AM 
tx206,aff_01,$76.95,05/01/2025 09:34 AM 
tx207,aff_03,$223.60,05/01/2025 09:50 AM 
tx208,aff_05,$156.85,05/01/2025 10:06 AM 
tx209,aff_02,$91.40,05/01/2025 10:21 AM 
tx210,aff_04,$285.15,05/01/2025 10:37 AM 
tx211,aff_01,$118.75,05/01/2025 10:53 AM 
tx212,aff_03,$87.20,05/01/2025 11:08 AM 
tx213,aff_05,$204.95,05/01/2025 11:24 AM 
tx214,aff_02,$145.60,05/01/2025 11:40 AM 
tx215,aff_04,$78.35,05/01/2025 11:55 AM 
tx216,aff_01,$192.50,05/01/2025 12:11 PM 
tx217,aff_03,$126.85,05/01/2025 12:27 PM 
tx218,aff_05,$83.70,05/01/2025 12:42 PM 
tx219,aff_02,$259.25,05/01/2025 12:58 PM 
tx220,aff_04,$167.90,05/01/2025 01:14 PM 
tx221,aff_01,$94.45,05/01/2025 01:29 PM 
tx222,aff_03,$231.80,05/01/2025 01:45 PM 
tx223,aff_05,$138.15,05/01/2025 02:01 PM 
tx224,aff_02,$85.60,05/01/2025 02:16 PM 
tx225,aff_04,$276.35,05/01/2025 02:32 PM 
tx226,aff_01,$112.90,05/01/2025 02:48 PM 
tx227,aff_03,$89.25,05/01/2025 03:03 PM 
tx228,aff_05,$195.70,05/01/2025 03:19 PM 
tx229,aff_02,$124.85,05/01/2025 03:35 PM 
tx230,aff_04,$82.40,05/01/2025 03:50 PM 
tx231,aff_01,$248.95,05/01/2025 04:06 PM 
tx232,aff_03,$156.30,05/01/2025 04:22 PM 
tx233,aff_05,$91.75,05/01/2025 04:37 PM 
tx234,aff_02,$213.40,05/01/2025 04:53 PM 
tx235,aff_04,$135.85,05/01/2025 05:09 PM 
tx236,aff_01,$88.20,05/01/2025 05:24 PM 
tx237,aff_03,$264.65,05/01/2025 05:40 PM 
tx238,aff_05,$147.10,05/01/2025 05:56 PM 
tx239,aff_02,$79.55,05/01/2025 06:11 PM 
tx240,aff_04,$202.90,05/01/2025 06:27 PM 
tx241,aff_01,$119.35,05/01/2025 06:43 PM 
tx242,aff_03,$86.80,05/01/2025 06:58 PM 
tx243,aff_05,$239.25,05/01/2025 07:14 PM 
tx244,aff_02,$158.70,05/01/2025 07:30 PM 
tx245,aff_04,$93.15,05/01/2025 07:45 PM 
tx246,aff_01,$271.60,05/01/2025 08:01 PM 
tx247,aff_03,$126.05,05/01/2025 08:17 PM 
tx248,aff_05,$84.50,05/01/2025 08:32 PM 
tx249,aff_02,$197.95,05/01/2025 08:48 PM 
tx250,aff_04,$141.40,05/01/2025 09:04 PM 
tx251,aff_01,$78.85,05/01/2025 09:19 PM 
tx252,aff_03,$216.30,05/01/2025 09:35 PM 
tx253,aff_05,$153.75,05/01/2025 09:51 PM 
tx254,aff_02,$97.20,05/01/2025 10:06 PM 
tx255,aff_04,$284.65,05/01/2025 10:22 PM 
tx256,aff_01,$131.10,05/01/2025 10:38 PM 
tx257,aff_03,$88.55,05/01/2025 10:53 PM 
tx258,aff_05,$245.90,05/01/2025 11:09 PM 
tx259,aff_02,$166.35,05/01/2025 11:25 PM 
tx260,aff_04,$81.80,05/01/2025 11:40 PM 
tx261,aff_01,$208.25,05/02/2025 12:56 AM 
tx262,aff_03,$142.70,05/02/2025 01:12 AM 
tx263,aff_05,$95.15,05/02/2025 01:27 AM 
tx264,aff_02,$262.60,05/02/2025 01:43 AM 
tx265,aff_04,$137.05,05/02/2025 01:59 AM 
tx266,aff_01,$89.50,05/02/2025 02:14 AM 
tx267,aff_03,$224.95,05/02/2025 02:30 AM 
tx268,aff_05,$159.40,05/02/2025 02:46 AM 
tx269,aff_02,$73.85,05/02/2025 03:01 AM 
tx270,aff_04,$191.30,05/02/2025 03:17 AM 
tx271,aff_01,$116.75,05/02/2025 03:33 AM 
tx272,aff_03,$84.20,05/02/2025 03:48 AM 
tx273,aff_05,$251.65,05/02/2025 04:04 AM 
tx274,aff_02,$148.10,05/02/2025 04:20 AM 
tx275,aff_04,$92.55,05/02/2025 04:35 AM 
tx276,aff_01,$279.90,05/02/2025 04:51 AM 
tx277,aff_03,$123.35,05/02/2025 05:07 AM 
tx278,aff_05,$86.80,05/02/2025 05:22 AM 
tx279,aff_02,$214.25,05/02/2025 05:38 AM 
tx280,aff_04,$155.70,05/02/2025 05:54 AM 
tx281,aff_01,$98.15,05/02/2025 06:09 AM 
tx282,aff_03,$237.60,05/02/2025 06:25 AM 
tx283,aff_05,$132.05,05/02/2025 06:41 AM 
tx284,aff_02,$87.50,05/02/2025 06:56 AM 
tx285,aff_04,$204.95,05/02/2025 07:12 AM 
tx286,aff_01,$169.40,05/02/2025 07:28 AM 
tx287,aff_03,$75.85,05/02/2025 07:43 AM 
tx288,aff_05,$243.30,05/02/2025 07:59 AM 
tx289,aff_02,$128.75,05/02/2025 08:15 AM 
tx290,aff_04,$91.20,05/02/2025 08:30 AM 
tx291,aff_01,$268.65,05/02/2025 08:46 AM 
tx292,aff_03,$145.10,05/02/2025 09:02 AM 
tx293,aff_05,$83.55,05/02/2025 09:17 AM 
tx294,aff_02,$220.90,05/02/2025 09:33 AM 
tx295,aff_04,$157.35,05/02/2025 09:49 AM 
tx296,aff_01,$94.80,05/02/2025 10:04 AM 
tx297,aff_03,$231.25,05/02/2025 10:20 AM 
tx298,aff_05,$138.70,05/02/2025 10:36 AM 
tx299,aff_02,$76.15,05/02/2025 10:51 AM 
tx300,aff_04,$195.60,05/02/2025 11:07 AM
